# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
248 584816720.000000 206.521000 0.000129522
249 584816800.000000 206.639500 0.000129492
250 584816880.000000 206.754500 0.000129403
251 584816960.000000 206.869500 0.000129432
252 584817040.000000 206.985000 0.000129462
253 584817120.000000 207.102000 0.000129462
254 584817200.000000 207.218500 0.000129403
255 584817280.000000 207.335000 0.000129432
256 584817360.000000 207.449500 0.000129432
257 584817440.000000 207.563500 0.000129403
258 584817520.000000 207.683000 0.000129462
259 584817600.000000 207.793000 0.000129373
260 584817680.000000 207.912500 0.000129403
261 584817760.000000 208.026500 0.000129343
262 584817840.000000 208.144000 0.000129343
263 584817920.000000 208.257500 0.000129373
264 584818000.000000 208.373000 0.000129403
265 584818080.000000 208.490500 0.000129373
266 584818160.000000 208.603000 0.000129403
267 584818240.000000 208.720500 0.000129373
268 584818320.000000 208.834000 0.000129313
269 584818400.000000 208.951500 0.000129343
270 584818480.000000 209.061500 0.000129224
271 584818560.000000 209.180500 0.000129224
272 584818640.000000 209.295000 0.000129224
273 584818720.000000 209.410500 0.000129313
274 584818800.000000 209.525500 0.000129224
275 584818880.000000 209.643000 0.000129224
276 584818960.000000 209.756500 0.000129224
277 584819040.000000 209.871500 0.000129254
278 584819120.000000 209.988500 0.000129224
279 584819200.000000 210.099500 0.000129224
280 584819280.000000 210.217500 0.000129105
281 584819360.000000 210.331000 0.000129194
282 584819440.000000 210.449500 0.000129164
283 584819520.000000 210.560500 0.000129194
284 584819600.000000 210.678500 0.000129105
285 584819680.000000 210.792500 0.000129164
286 584819760.000000 210.909000 0.000129134
287 584819840.000000 211.023000 0.000129075
288 584819920.000000 211.139000 0.000129105
289 584820000.000000 211.256500 0.000129105
290 584820080.000000 211.370000 0.000129105
291 584820160.000000 211.485000 0.000129075
292 584820240.000000 211.599500 0.000129075
293 584820320.000000 211.715000 0.000129045
294 584820400.000000 211.829500 0.000129015
295 584820480.000000 211.945500 0.000129045
296 584820560.000000 212.061000 0.000128985
297 584820640.000000 212.177500 0.000129015
298 584820720.000000 212.293500 0.000128985
299 584820800.000000 212.407000 0.000128985
300 584820880.000000 212.525000 0.000128956
301 584820960.000000 212.639000 0.000129015
302 584821040.000000 212.757500 0.000128985
303 584821120.000000 212.870000 0.000128985
