# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
259 3014309960.000000 169.855500 0.00014034
260 3014310040.000000 170.011500 0.00014034
261 3014310120.000000 170.163000 0.000140251
262 3014310200.000000 170.321000 0.00014031
263 3014310280.000000 170.475500 0.00014028
264 3014310360.000000 170.631500 0.00014034
265 3014310440.000000 170.785000 0.00014031
266 3014310520.000000 170.939500 0.000140251
267 3014310600.000000 171.098500 0.000140221
268 3014310680.000000 171.253500 0.000140221
269 3014310760.000000 171.409500 0.000140221
270 3014310840.000000 171.568000 0.000140251
271 3014310920.000000 171.721000 0.000140221
272 3014311000.000000 171.879000 0.00014028
273 3014311080.000000 172.033500 0.000140251
274 3014311160.000000 172.188000 0.000140161
275 3014311240.000000 172.344000 0.000140221
276 3014311320.000000 172.499000 0.000140131
277 3014311400.000000 172.655000 0.000140221
278 3014311480.000000 172.811000 0.000140221
279 3014311560.000000 172.967500 0.000140221
280 3014311640.000000 173.120500 0.000140251
281 3014311720.000000 173.275000 0.000140251
282 3014311800.000000 173.431500 0.000140251
283 3014311880.000000 173.584000 0.000140191
284 3014311960.000000 173.737500 0.000140191
285 3014312040.000000 173.895500 0.000140191
286 3014312120.000000 174.048000 0.000140102
287 3014312200.000000 174.204500 0.000140191
288 3014312280.000000 174.358500 0.000140191
289 3014312360.000000 174.511500 0.000140161
290 3014312440.000000 174.666000 0.000140161
291 3014312520.000000 174.821000 0.000140131
292 3014312600.000000 174.977500 0.000140131
293 3014312680.000000 175.133500 0.000140102
294 3014312760.000000 175.285000 0.000140102
295 3014312840.000000 175.442000 0.000140131
296 3014312920.000000 175.598000 0.000140102
297 3014313000.000000 175.750000 0.000140161
298 3014313080.000000 175.907000 0.000140102
299 3014313160.000000 176.062000 0.000140072
300 3014313240.000000 176.216500 0.000140102
301 3014313320.000000 176.374000 0.000140072
302 3014313400.000000 176.530000 0.000140072
303 3014313480.000000 176.685000 0.000140072
304 3014313560.000000 176.841000 0.000140102
305 3014313640.000000 176.999000 0.000140042
306 3014313720.000000 177.152000 0.000139953
307 3014313800.000000 177.306500 0.000140042
308 3014313880.000000 177.464500 0.000140012
309 3014313960.000000 177.617500 0.000140012
310 3014314040.000000 177.774000 0.000140012
311 3014314120.000000 177.932000 0.000140072
312 3014314200.000000 178.082500 0.000139953
313 3014314280.000000 178.240000 0.000139953
314 3014314360.000000 178.396000 0.000139953
315 3014314440.000000 178.547000 0.000140012
316 3014314520.000000 178.703500 0.000139982
317 3014314600.000000 178.858500 0.000139953
318 3014314680.000000 179.013500 0.000139923
319 3014314760.000000 179.169500 0.000139982
320 3014314840.000000 179.321500 0.000139953
321 3014314920.000000 179.478000 0.000139982
322 3014315000.000000 179.632000 0.000139982
323 3014315080.000000 179.784500 0.000139953
324 3014315160.000000 179.940500 0.000139923
325 3014315240.000000 180.094500 0.000139953
326 3014315320.000000 180.249000 0.000139953
327 3014315400.000000 180.403500 0.000139953
328 3014315480.000000 180.560000 0.000139923
329 3014315560.000000 180.713500 0.000139953
330 3014315640.000000 180.867500 0.000139863
331 3014315720.000000 181.022000 0.000139923
332 3014315800.000000 181.177000 0.000139923
333 3014315880.000000 181.334500 0.000139893
334 3014315960.000000 181.492500 0.000139893
335 3014316040.000000 181.645500 0.000139863
336 3014316120.000000 181.803500 0.000139923
337 3014316200.000000 181.958500 0.000139923
338 3014316280.000000 182.114000 0.000139953
339 3014316360.000000 182.271500 0.000139923
340 3014316440.000000 182.423000 0.000139923
341 3014316520.000000 182.581000 0.000139863
342 3014316600.000000 182.737500 0.000139833
343 3014316680.000000 182.892000 0.000139774
344 3014316760.000000 183.047000 0.000139804
345 3014316840.000000 183.202000 0.000139684
346 3014316920.000000 183.358500 0.000139744
347 3014317000.000000 183.510500 0.000139744
348 3014317080.000000 183.665500 0.000139774
349 3014317160.000000 183.819500 0.000139744
350 3014317240.000000 183.976000 0.000139714
351 3014317320.000000 184.131000 0.000139774
352 3014317400.000000 184.286500 0.000139684
353 3014317480.000000 184.444000 0.000139714
354 3014317560.000000 184.596500 0.000139714
355 3014317640.000000 184.751500 0.000139714
356 3014317720.000000 184.906500 0.000139684
357 3014317800.000000 185.060500 0.000139684
358 3014317880.000000 185.215500 0.000139655
359 3014317960.000000 185.372500 0.000139714
360 3014318040.000000 185.526500 0.000139684
361 3014318120.000000 185.680000 0.000139714
362 3014318200.000000 185.838000 0.000139655
363 3014318280.000000 185.989500 0.000139625
364 3014318360.000000 186.145000 0.000139625
365 3014318440.000000 186.303000 0.000139655
366 3014318520.000000 186.455500 0.000139655
367 3014318600.000000 186.614500 0.000139595
368 3014318680.000000 186.772000 0.000139655
369 3014318760.000000 186.925000 0.000139625
370 3014318840.000000 187.082500 0.000139655
371 3014318920.000000 187.236000 0.000139625
372 3014319000.000000 187.393000 0.000139625
373 3014319080.000000 187.548000 0.000139595
374 3014319160.000000 187.700000 0.000139565
375 3014319240.000000 187.858500 0.000139595
376 3014319320.000000 188.012500 0.000139655
377 3014319400.000000 188.168000 0.000139655
378 3014319480.000000 188.325000 0.000139565
379 3014319560.000000 188.478000 0.000139565
380 3014319640.000000 188.633500 0.000139595
381 3014319720.000000 188.787500 0.000139625
382 3014319800.000000 188.940500 0.000139625
383 3014319880.000000 189.095500 0.000139565
384 3014319960.000000 189.249500 0.000139565
385 3014320040.000000 189.406000 0.000139625
386 3014320120.000000 189.561500 0.000139535
387 3014320200.000000 189.714500 0.000139565
388 3014320280.000000 189.870000 0.000139565
389 3014320360.000000 190.025000 0.000139565
390 3014320440.000000 190.181500 0.000139535
391 3014320520.000000 190.333500 0.000139565
392 3014320600.000000 190.485500 0.000139565
393 3014320680.000000 190.643000 0.000139625
394 3014320760.000000 190.798000 0.000139565
395 3014320840.000000 190.952000 0.000139625
396 3014320920.000000 191.108000 0.000139595
397 3014321000.000000 191.263000 0.000139684
398 3014321080.000000 191.418000 0.000139655
399 3014321160.000000 191.575500 0.000139684
400 3014321240.000000 191.730500 0.000139625
401 3014321320.000000 191.886500 0.000139535
402 3014321400.000000 192.044000 0.000139565
403 3014321480.000000 192.200000 0.000139535
404 3014321560.000000 192.356500 0.000139506
405 3014321640.000000 192.509500 0.000139535
406 3014321720.000000 192.666000 0.000139506
407 3014321800.000000 192.822000 0.000139535
408 3014321880.000000 192.977500 0.000139506
409 3014321960.000000 193.132500 0.000139535
410 3014322040.000000 193.289500 0.000139535
411 3014322120.000000 193.443500 0.000139506
