# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






244 2455484740.000000 245.846500 9.73647e-005
245 2455484820.000000 246.001500 9.7305e-005
246 2455484900.000000 246.157000 9.7305e-005
247 2455484980.000000 246.312500 9.7305e-005
248 2455485060.000000 246.465500 9.73349e-005
249 2455485140.000000 246.624000 9.73647e-005
250 2455485220.000000 246.777000 9.73349e-005
251 2455485300.000000 246.931000 9.7305e-005
252 2455485380.000000 247.085500 9.7305e-005
253 2455485460.000000 247.242000 9.73349e-005
254 2455485540.000000 247.400000 9.73349e-005
255 2455485620.000000 247.555000 9.7305e-005
256 2455485700.000000 247.709000 9.7305e-005
257 2455485780.000000 247.867500 9.73349e-005
258 2455485860.000000 248.023500 9.72752e-005
259 2455485940.000000 248.178000 9.72752e-005
260 2455486020.000000 248.331500 9.7305e-005
261 2455486100.000000 248.486500 9.7305e-005
262 2455486180.000000 248.643000 9.7305e-005
263 2455486260.000000 248.796500 9.72454e-005
264 2455486340.000000 248.952000 9.7305e-005
265 2455486420.000000 249.107000 9.7305e-005
266 2455486500.000000 249.261500 9.7305e-005
267 2455486580.000000 249.419000 9.7305e-005
268 2455486660.000000 249.573000 9.72752e-005
269 2455486740.000000 249.725000 9.73349e-005
270 2455486820.000000 249.881500 9.72752e-005
271 2455486900.000000 250.034000 9.72752e-005
272 2455486980.000000 250.190000 9.72752e-005
273 2455487060.000000 250.348500 9.7305e-005
274 2455487140.000000 250.500000 9.7305e-005
275 2455487220.000000 250.659500 9.72156e-005
276 2455487300.000000 250.811000 9.7305e-005
277 2455487380.000000 250.967500 9.72752e-005
278 2455487460.000000 251.123500 9.73349e-005
279 2455487540.000000 251.276500 9.73349e-005
280 2455487620.000000 251.432500 9.72752e-005
281 2455487700.000000 251.588000 9.73349e-005
282 2455487780.000000 251.742500 9.73647e-005
283 2455487860.000000 251.897000 9.73349e-005
284 2455487940.000000 252.052000 9.72752e-005
285 2455488020.000000 252.209000 9.72454e-005
286 2455488100.000000 252.364500 9.7305e-005
287 2455488180.000000 252.517500 9.72156e-005
288 2455488260.000000 252.675500 9.7305e-005
289 2455488340.000000 252.832500 9.72752e-005
290 2455488420.000000 252.986500 9.72752e-005
291 2455488500.000000 253.143000 9.72156e-005
292 2455488580.000000 253.295500 9.7156e-005
293 2455488660.000000 253.452500 9.72454e-005
294 2455488740.000000 253.606500 9.72454e-005
295 2455488820.000000 253.761000 9.72156e-005
296 2455488900.000000 253.917500 9.72156e-005
297 2455488980.000000 254.072500 9.72454e-005
298 2455489060.000000 254.226000 9.7305e-005
299 2455489140.000000 254.382000 9.7305e-005
300 2455489220.000000 254.538000 9.7305e-005
301 2455489300.000000 254.692000 9.7305e-005
302 2455489380.000000 254.844500 9.72752e-005
303 2455489460.000000 254.998500 9.72752e-005
304 2455489540.000000 255.155500 9.72752e-005
305 2455489620.000000 255.312000 9.7305e-005
306 2455489700.000000 255.465000 9.7305e-005
307 2455489780.000000 255.620000 9.71858e-005
308 2455489860.000000 255.776000 9.72454e-005
309 2455489940.000000 255.930000 9.72454e-005
310 2455490020.000000 256.083500 9.72752e-005
311 2455490100.000000 256.242000 9.72752e-005
312 2455490180.000000 256.394000 9.72752e-005
313 2455490260.000000 256.551000 9.72156e-005
314 2455490340.000000 256.707000 9.72752e-005
315 2455490420.000000 256.861000 9.72752e-005
316 2455490500.000000 257.016000 9.72156e-005
317 2455490580.000000 257.173500 9.72752e-005
318 2455490660.000000 257.326500 9.71858e-005
319 2455490740.000000 257.484000 9.72752e-005
320 2455490820.000000 257.638000 9.72752e-005
321 2455490900.000000 257.796500 9.72156e-005
322 2455490980.000000 257.952500 9.72752e-005
323 2455491060.000000 258.107500 9.72454e-005
324 2455491140.000000 258.265000 9.72752e-005
325 2455491220.000000 258.416500 9.72156e-005
326 2455491300.000000 258.574000 9.72156e-005
327 2455491380.000000 258.728500 9.72752e-005
328 2455491460.000000 258.883000 9.71858e-005
329 2455491540.000000 259.039000 9.72156e-005
330 2455491620.000000 259.192000 9.71858e-005
331 2455491700.000000 259.348500 9.72156e-005
332 2455491780.000000 259.503000 9.72156e-005
333 2455491860.000000 259.656500 9.71858e-005
334 2455491940.000000 259.811500 9.71858e-005
335 2455492020.000000 259.967500 9.71858e-005
336 2455492100.000000 260.119500 9.7156e-005
337 2455492180.000000 260.275500 9.72156e-005
338 2455492260.000000 260.429500 9.7156e-005
339 2455492340.000000 260.585500 9.7156e-005
340 2455492420.000000 260.744000 9.7156e-005
