# frequency transmission sigma
1.51250000e+02 9.65757726e-01 6.02827083e-03
1.51300000e+02 9.71953286e-01 5.92587980e-03
1.51350000e+02 9.78186560e-01 5.84643118e-03
1.51400000e+02 9.84153677e-01 5.79702070e-03
1.51450000e+02 9.89560363e-01 5.77843674e-03
1.51500000e+02 9.94151500e-01 5.78460210e-03
1.51550000e+02 9.97734791e-01 5.80524932e-03
1.51600000e+02 1.00019397e+00 5.83034697e-03
1.51650000e+02 1.00148977e+00 5.85382788e-03
1.51700000e+02 1.00164997e+00 5.87493585e-03
1.51750000e+02 1.00075227e+00 5.89704757e-03
1.51800000e+02 9.98904620e-01 5.92505427e-03
1.51850000e+02 9.96227185e-01 5.96283661e-03
1.51900000e+02 9.92838842e-01 6.01204126e-03
1.51950000e+02 9.88849595e-01 6.07252403e-03
1.52000000e+02 9.84359108e-01 6.14389532e-03
1.52050000e+02 9.79460656e-01 6.22702375e-03
1.52100000e+02 9.74249236e-01 6.32433740e-03
1.52150000e+02 9.68832001e-01 6.43829851e-03
1.52200000e+02 9.63338656e-01 6.56838469e-03
1.52250000e+02 9.57928940e-01 6.70795321e-03
1.52300000e+02 9.52794206e-01 6.84286000e-03
1.52350000e+02 9.48150823e-01 6.95308924e-03
1.52400000e+02 9.44224949e-01 7.01713344e-03
1.52450000e+02 9.41230762e-01 7.01743289e-03
1.52500000e+02 9.39346751e-01 6.94472376e-03
1.52550000e+02 9.38695684e-01 6.79976580e-03
1.52600000e+02 9.39332861e-01 6.59212226e-03
1.52650000e+02 9.41244595e-01 6.33681818e-03
1.52700000e+02 9.44355701e-01 6.05035706e-03
1.52750000e+02 9.48542651e-01 5.74755823e-03
1.52800000e+02 9.53648480e-01 5.44009694e-03
1.52850000e+02 9.59496259e-01 5.13680485e-03
1.52900000e+02 9.65899366e-01 4.84509999e-03
1.52950000e+02 9.72668070e-01 4.57261514e-03
1.53000000e+02 9.79612868e-01 4.32819094e-03
1.53050000e+02 9.86545440e-01 4.12173766e-03
1.53100000e+02 9.93278199e-01 3.96290194e-03
1.53150000e+02 9.99623338e-01 3.85896639e-03
1.53200000e+02 1.00539219e+00 3.81288173e-03
1.53250000e+02 1.01039567e+00 3.82247474e-03
1.53300000e+02 1.01444650e+00 3.88136155e-03
1.53350000e+02 1.01736406e+00 3.98115020e-03
1.53400000e+02 1.01898252e+00 4.11387443e-03
1.53450000e+02 1.01916256e+00 4.27366075e-03
1.53500000e+02 1.01780664e+00 4.45710339e-03
1.53550000e+02 1.01487633e+00 4.66230993e-03
1.53600000e+02 1.01040914e+00 4.88700216e-03
1.53650000e+02 1.00453095e+00 5.12644939e-03
1.53700000e+02 9.97459621e-01 5.37221847e-03
1.53750000e+02 9.89496188e-01 5.61248488e-03
1.53800000e+02 9.81002849e-01 5.83394817e-03
1.53850000e+02 9.72370281e-01 6.02461873e-03
1.53900000e+02 9.63980357e-01 6.17636229e-03
1.53950000e+02 9.56171739e-01 6.28628121e-03
1.54000000e+02 9.49214803e-01 6.35659075e-03
1.54050000e+02 9.43299337e-01 6.39327828e-03
1.54100000e+02 9.38534805e-01 6.40423608e-03
1.54150000e+02 9.34960146e-01 6.39761804e-03
1.54200000e+02 9.32558817e-01 6.38092211e-03
1.54250000e+02 9.31274978e-01 6.36089123e-03
1.54300000e+02 9.31027721e-01 6.34393679e-03
1.54350000e+02 9.31721611e-01 6.33657226e-03
1.54400000e+02 9.33252895e-01 6.34537125e-03
1.54450000e+02 9.35511686e-01 6.37622855e-03
1.54500000e+02 9.38381025e-01 6.43311708e-03
1.54550000e+02 9.41734262e-01 6.51691829e-03
1.54600000e+02 9.45432556e-01 6.62500721e-03
1.54650000e+02 9.49324386e-01 6.75194511e-03
1.54700000e+02 9.53248656e-01 6.89101999e-03
1.54750000e+02 9.57042047e-01 7.03589499e-03
1.54800000e+02 9.60549850e-01 7.18163493e-03
1.54850000e+02 9.63638130e-01 7.32486655e-03
1.54900000e+02 9.66204305e-01 7.46340380e-03
1.54950000e+02 9.68183561e-01 7.59589295e-03
1.55000000e+02 9.69549840e-01 7.72177583e-03
1.55050000e+02 9.70311784e-01 7.84141602e-03
1.55100000e+02 9.70505286e-01 7.95599114e-03
1.55150000e+02 9.70184749e-01 8.06688839e-03
1.55200000e+02 9.69414845e-01 8.17468831e-03
1.55250000e+02 9.68263914e-01 8.27810771e-03
1.55300000e+02 9.66799401e-01 8.37332694e-03
1.55350000e+02 9.65085245e-01 8.45396422e-03
1.55400000e+02 9.63180828e-01 8.51171121e-03
1.55450000e+02 9.61141032e-01 8.53744857e-03
1.55500000e+02 9.59016964e-01 8.52258622e-03
1.55550000e+02 9.56856959e-01 8.46040010e-03
1.55600000e+02 9.54707561e-01 8.34720078e-03
1.55650000e+02 9.52614223e-01 8.18321033e-03
1.55700000e+02 9.50621545e-01 7.97302141e-03
1.55750000e+02 9.48772992e-01 7.72548708e-03
1.55800000e+02 9.47110115e-01 7.45289711e-03
1.55850000e+02 9.45671515e-01 7.16939830e-03
1.55900000e+02 9.44491850e-01 6.88884096e-03
1.55950000e+02 9.43601256e-01 6.62252067e-03
1.56000000e+02 9.43025434e-01 6.37747474e-03
1.56050000e+02 9.42786480e-01 6.15590449e-03
1.56100000e+02 9.42904279e-01 5.95589439e-03
1.56150000e+02 9.43398094e-01 5.77309643e-03
1.56200000e+02 9.44287899e-01 5.60275294e-03
1.56250000e+02 9.45594992e-01 5.44147809e-03
1.56300000e+02 9.47341538e-01 5.28847264e-03
