# frequency transmission sigma
1.498000000000000114e+02 8.972515744237581359e-01 4.202938591406146090e-03
1.498499999999999943e+02 9.014148255708576141e-01 4.119816042842086752e-03
1.499000000000000057e+02 9.062689479730697828e-01 4.024243651137362175e-03
1.499500000000000171e+02 9.116888731704541060e-01 3.924616698218571197e-03
1.500000000000000000e+02 9.175426981847346619e-01 3.832962908109921983e-03
1.500500000000000114e+02 9.237006310287898536e-01 3.762841213575127911e-03
1.500999999999999943e+02 9.300430367089748129e-01 3.728804515922874794e-03
1.501500000000000057e+02 9.364660769338862822e-01 3.745255522159682965e-03
1.502000000000000171e+02 9.428838387723676995e-01 3.822581237722597492e-03
1.502500000000000000e+02 9.492266339267225739e-01 3.961491642522516239e-03
1.503000000000000114e+02 9.554360982569667371e-01 4.149742653939647759e-03
1.503499999999999943e+02 9.614585267883865027e-01 4.364494199948622775e-03
1.504000000000000057e+02 9.672382832503967354e-01 4.579049869509691645e-03
1.504500000000000171e+02 9.727130123164622333e-01 4.769963989937357242e-03
1.505000000000000000e+02 9.778118200882723876e-01 4.921550790816204418e-03
1.505500000000000114e+02 9.824567679694361511e-01 5.027252566867044040e-03
1.505999999999999943e+02 9.865671892277819710e-01 5.088957010239354359e-03
1.506500000000000057e+02 9.900656988014544524e-01 5.115806062110720732e-03
1.507000000000000171e+02 9.928844588794345505e-01 5.123530709961483971e-03
1.507500000000000000e+02 9.949703234160579557e-01 5.134188588379200863e-03
1.508000000000000114e+02 9.962878645287203128e-01 5.174961026061134645e-03
1.508499999999999943e+02 9.968198698173027505e-01 5.274354940423859640e-03
1.509000000000000057e+02 9.965655472641758994e-01 5.455669355884287981e-03
1.509500000000000171e+02 9.955372377223559166e-01 5.730412361858974908e-03
1.510000000000000000e+02 9.937567912989064833e-01 6.095596388429408430e-03
1.510500000000000114e+02 9.912528293902593823e-01 6.536178965329522174e-03
1.510999999999999943e+02 9.880598563767463149e-01 7.029856063094176710e-03
1.511500000000000057e+02 9.842196378563770054e-01 7.550394792760847622e-03
1.512000000000000171e+02 9.797845403135603259e-01 8.068077986309265051e-03
1.512500000000000000e+02 9.748218235111490992e-01 8.548700094474774580e-03
1.513000000000000114e+02 9.694174228030928431e-01 8.953708096915242651e-03
1.513499999999999943e+02 9.636777381556327349e-01 9.243265570256857869e-03
1.514000000000000057e+02 9.577284010404243375e-01 9.382219693690919612e-03
1.514500000000000171e+02 9.517097725623124838e-01 9.347443034650628271e-03
1.515000000000000000e+02 9.457697532042460553e-01 9.134518236633169114e-03
1.515500000000000114e+02 9.400550687883593159e-01 8.762105576091566012e-03
1.515999999999999943e+02 9.347023789191727383e-01 8.272933422028080561e-03
1.516500000000000057e+02 9.298303553093684171e-01 7.730485630534072485e-03
1.517000000000000171e+02 9.255334569612442275e-01 7.209857164873371971e-03
1.517500000000000000e+02 9.218776849975512944e-01 6.780991341087758834e-03
1.518000000000000114e+02 9.188982820517793693e-01 6.485953946610049925e-03
1.518499999999999943e+02 9.165992132665229386e-01 6.320727786738308991e-03
1.519000000000000057e+02 9.149543113760980617e-01 6.236305678504984983e-03
1.519500000000000171e+02 9.139101157306935841e-01 6.160953616168083832e-03
1.520000000000000000e+02 9.133905836014940549e-01 6.028816791180687147e-03
1.520500000000000114e+02 9.133038905493391368e-01 5.800996130737080120e-03
1.520999999999999943e+02 9.135513656450348075e-01 5.476245800842851480e-03
1.521500000000000057e+02 9.140381756992220774e-01 5.093511981466098716e-03
1.522000000000000171e+02 9.146847278325379582e-01 4.725879998104694051e-03
1.522500000000000000e+02 9.154370867527049649e-01 4.460052852381705089e-03
1.523000000000000114e+02 9.162743047787740291e-01 4.357533732739080588e-03
1.523499999999999943e+02 9.172107442524151111e-01 4.417568431711153126e-03
1.524000000000000057e+02 9.182923582060594780e-01 4.580397073772333669e-03
1.524500000000000171e+02 9.195872907955869868e-01 4.769339205458242477e-03
1.525000000000000000e+02 9.211725827725808502e-01 4.929511719808749200e-03
1.525500000000000114e+02 9.231196814997014721e-01 5.041913450666817530e-03
1.525999999999999943e+02 9.254815511403609030e-01 5.119149409278924909e-03
1.526500000000000057e+02 9.282835188942714089e-01 5.192174207926983712e-03
1.527000000000000171e+02 9.315189233829861415e-01 5.293541023246789608e-03
1.527500000000000000e+02 9.351495582363913428e-01 5.442020824932688669e-03
1.528000000000000114e+02 9.391101041958047624e-01 5.634086030771267434e-03
1.528499999999999943e+02 9.433153025615894638e-01 5.845127088958590802e-03
1.529000000000000057e+02 9.476684898720957317e-01 6.038045844362557868e-03
1.529500000000000171e+02 9.520701890768484832e-01 6.174366375848967109e-03
