        k           c(k)                    s(k)
        1655  -6.5928775392383313E-008   1.4034992430479168E-008
        1656   6.5880312553206772E-008  -1.4043472994982849E-008
        1657  -6.5831930833813159E-008   1.4051953210847770E-008
        1658   6.5783629273443497E-008  -1.4060434137447872E-008
        1659  -6.5735410013193787E-008   1.4068913768141775E-008
        1660   6.5687268075586723E-008  -1.4077394317154918E-008
        1661  -6.5639208502609641E-008   1.4085874746648324E-008
        1662   6.5591227004569211E-008  -1.4094355037052144E-008
        1663  -6.5543326760996725E-008   1.4102835104394919E-008
        1664   6.5495505299585969E-008  -1.4111314681488577E-008
        1665  -6.5447765159911124E-008   1.4119796018676042E-008
        1666   6.5400100094053885E-008  -1.4128276637064572E-008
        1667  -6.5352516000609395E-008   1.4136757291055590E-008
        1668   6.5305010128929636E-008  -1.4145237098054319E-008
        1669  -6.5257582974955787E-008   1.4153717325316915E-008
        1670   6.5210233442139325E-008  -1.4162196104505536E-008
        1671  -6.5162961666832223E-008   1.4170677400303583E-008
        1672   6.5115769511219477E-008  -1.4179159649481258E-008
        1673  -6.5068655395537206E-008   1.4187639026119487E-008
        1674   6.5021617400456185E-008  -1.4196118089247105E-008
        1675  -6.4974653976305921E-008   1.4204595578099616E-008
        1676   6.4927773269388513E-008  -1.4213080800742407E-008
        1677  -6.4880967753186034E-008   1.4221560216073101E-008
        1678   6.4834238725502036E-008  -1.4230041072457560E-008
        1679  -6.4787585209036681E-008   1.4238520971776103E-008
        1680   6.4741009276709984E-008  -1.4247003228028197E-008
        1681  -6.4694508140285994E-008   1.4255481004749938E-008
        1682   6.4648084274334197E-008  -1.4263962669298696E-008
        1683  -6.4601735045964484E-008   1.4272442391743208E-008
        1684   6.4555461807556437E-008  -1.4280923038131259E-008
        1685  -6.4509265119161462E-008   1.4289403086676679E-008
        1686   6.4463141947649445E-008  -1.4297885119908386E-008
        1687  -6.4417096646579998E-008   1.4306363795758988E-008
        1688   6.4371123662805118E-008  -1.4314844428689379E-008
        1689  -6.4325224640483520E-008   1.4323322032033640E-008
        1690   6.4279404466737811E-008  -1.4331805241096156E-008
        1691  -6.4233655689426331E-008   1.4340285545757234E-008
        1692   6.4187980885839946E-008  -1.4348765497971291E-008
        1693  -6.4142380219767722E-008   1.4357246469714861E-008
        1694   6.4096853566079177E-008  -1.4365726376338217E-008
        1695  -6.4051401689868678E-008   1.4374206834684954E-008
        1696   6.4006021938500086E-008  -1.4382686683994672E-008
        1697  -6.3960715947600796E-008   1.4391166971579566E-008
        1698   6.3915482889707713E-008  -1.4399647995473261E-008
        1699  -6.3870323545676792E-008   1.4408128158795034E-008
        1700   6.3825236023270311E-008  -1.4416608562972319E-008
        1701  -6.3780221939833308E-008   1.4425088535623587E-008
        1702   6.3735279524368969E-008  -1.4433569279278125E-008
        1703  -6.3690405979168125E-008   1.4442044384268215E-008
        1704   6.3645610875669200E-008  -1.4450529938649765E-008
        1705  -6.3600884536453009E-008   1.4459010711726839E-008
        1706   6.3556231142867202E-008  -1.4467490262555700E-008
        1707  -6.3511648656577814E-008   1.4475971042246408E-008
        1708   6.3467136963777499E-008  -1.4484451757738794E-008
        1709  -6.3422696904024984E-008   1.4492932091592016E-008
        1710   6.3378327336393995E-008  -1.4501412451588063E-008
        1711  -6.3334028677252048E-008   1.4509892058388861E-008
        1712   6.3289801805148491E-008  -1.4518372171376547E-008
        1713  -6.3245644272686655E-008   1.4526852599609568E-008
        1714   6.3201557712464949E-008  -1.4535333516370536E-008
        1715  -6.3157540693268741E-008   1.4543813824026723E-008
        1716   6.3113594032539037E-008  -1.4552293546227289E-008
        1717  -6.3069718333641121E-008   1.4560775635159883E-008
        1718   6.3025911063363722E-008  -1.4569255378881862E-008
        1719  -6.2982173947777028E-008   1.4577735499824883E-008
        1720   6.2938505902367158E-008  -1.4586216104051021E-008
        1721  -6.2894906665082447E-008   1.4594697125125790E-008
        1722   6.2851376896479844E-008  -1.4603176305252375E-008
        1723  -6.2807914243915176E-008   1.4611655603096211E-008
        1724   6.2764520313342580E-008  -1.4620137533504895E-008
        1725  -6.2721199511515339E-008   1.4628617711720895E-008
        1726   6.2677943780507382E-008  -1.4637097962957911E-008
        1727  -6.2634756180133752E-008   1.4645577377245061E-008
        1728   6.2591637609021866E-008  -1.4654057102427183E-008
        1729  -6.2548585793294838E-008   1.4662539372462197E-008
        1730   6.2505601781545574E-008  -1.4671019471328151E-008
        1731  -6.2462686787463867E-008   1.4679500411914461E-008
        1732   6.2419837790862265E-008  -1.4687980640383231E-008
        1733  -6.2377056047219779E-008   1.4696460194532461E-008
        1734   6.2334339160856182E-008  -1.4704940882838478E-008
        1735  -6.2291694295745750E-008   1.4713421075555682E-008
        1736   6.2249114068065113E-008  -1.4721902724762980E-008
        1737  -6.2206596954415350E-008   1.4730382621926672E-008
        1738   6.2164151418627497E-008  -1.4738861878516615E-008
        1739  -6.2121769764356908E-008   1.4747342393309627E-008
        1740   6.2079453310867562E-008  -1.4755822156154222E-008
        1741  -6.2037205211175231E-008   1.4764303080856971E-008
        1742   6.1995021166004948E-008  -1.4772784689393134E-008
        1743  -6.1952903658261005E-008   1.4781264121135939E-008
        1744   6.1910850679052301E-008  -1.4789743828035702E-008
        1745  -6.1868863670740419E-008   1.4798223704802840E-008
        1746   6.1826942258110093E-008  -1.4806704919177304E-008
        1747  -6.1785086133573166E-008   1.4815183759270983E-008
        1748   6.1743293764589540E-008  -1.4823666676683114E-008
        1749  -6.1701566848965605E-008   1.4832145182544368E-008
        1750   6.1659904350461583E-008  -1.4840626125150005E-008
        1751  -6.1618305764659189E-008   1.4849105733807499E-008
        1752   6.1576771678409955E-008  -1.4857587367320970E-008
        1753  -6.1535302080837977E-008   1.4866067628668172E-008
        1754   6.1493896724657069E-008  -1.4874547976846415E-008
        1755  -6.1452552100623283E-008   1.4883029590600301E-008
        1756   6.1411276012498595E-008  -1.4891508801816384E-008
        1757  -6.1370061240892447E-008   1.4899989044068074E-008
        1758   6.1328910385877503E-008  -1.4908468914560393E-008
        1759  -6.1287823162112080E-008   1.4916949133488185E-008
        1760   6.1246795846242629E-008  -1.4925428201630238E-008
        1761  -6.1205835994589087E-008   1.4933909469442316E-008
        1762   6.1164934527683319E-008  -1.4942390241421636E-008
        1763  -6.1124098867465179E-008   1.4950873691027956E-008
        1764   6.1083325021292403E-008  -1.4959352138613343E-008
        1765  -6.1042612416604600E-008   1.4967831731048462E-008
        1766   6.1001963191055432E-008  -1.4976312282501060E-008
        1767  -6.0961376080146681E-008   1.4984795602436801E-008
        1768   6.0920850699250849E-008  -1.4993273395231838E-008
        1769  -6.0880385989515767E-008   1.5001752919158932E-008
        1770   6.0839983741298035E-008  -1.5010233822177637E-008
        1771  -6.0799642983220268E-008   1.5018713922168450E-008
        1772   6.0759365683624405E-008  -1.5027192841883226E-008
        1773  -6.0719145200139062E-008   1.5035674150678147E-008
        1774   6.0678988244036670E-008  -1.5044154294050600E-008
        1775  -6.0638891913727944E-008   1.5052635428654888E-008
        1776   6.0598856248887905E-008  -1.5061115853188070E-008
        1777  -6.0558881069220510E-008   1.5069596203223009E-008
        1778   6.0518966929891480E-008  -1.5078077130487185E-008
        1779  -6.0479112820241432E-008   1.5086557050053204E-008
        1780   6.0439320341345595E-008  -1.5095028754117919E-008
        1781  -6.0399585285855794E-008   1.5103517335361542E-008
        1782   6.0359911541233130E-008  -1.5111998045229630E-008
        1783  -6.0320297504301730E-008   1.5120478245820852E-008
        1784   6.0280742794350780E-008  -1.5128955892424779E-008
        1785  -6.0241248320477023E-008   1.5137438432412582E-008
        1786   6.0201812536587833E-008  -1.5145919362211080E-008
        1787  -6.0162438575471835E-008   1.5154396282453762E-008
        1788   6.0123118696094925E-008  -1.5162879757132258E-008
        1789  -6.0083860576383864E-008   1.5171359799822986E-008
        1790   6.0044662396457871E-008  -1.5179841012557594E-008
        1791  -6.0005521083647333E-008   1.5188321312583708E-008
        1792   5.9966439508472370E-008  -1.5196801625931957E-008
        1793  -5.9927414763326370E-008   1.5205282232096107E-008
        1794   5.9888449742175325E-008  -1.5213762468953892E-008
        1795  -5.9849542270712765E-008   1.5222242375102909E-008
        1796   5.9810691482335893E-008  -1.5230720728430470E-008
        1797  -5.9771901976270983E-008   1.5239203172520590E-008
        1798   5.9733167763500431E-008  -1.5247684457801876E-008
        1799  -5.9694492746528640E-008   1.5256164263675745E-008
        1800   5.9655874386899512E-008  -1.5264643860596751E-008
        1801  -5.9617309600660954E-008   1.5273123731698933E-008
        1802   5.9578809255713240E-008  -1.5281605393496528E-008
        1803  -5.9540362270236232E-008   1.5290085942726512E-008
        1804   5.9501972746213981E-008  -1.5298565357515104E-008
        1805  -5.9463639178990711E-008   1.5307046356851620E-008
        1806   5.9425363532795170E-008  -1.5315526390543470E-008
        1807  -5.9387143272484851E-008   1.5324007863473047E-008
        1808   5.9348980500998618E-008  -1.5332487122909021E-008
        1809  -5.9310871385891855E-008   1.5340967494695767E-008
        1810   5.9272822393617369E-008  -1.5349448337636119E-008
        1811  -5.9234827885856301E-008   1.5357928894807883E-008
        1812   5.9196888660554344E-008  -1.5366409473040275E-008
        1813  -5.9159005701536879E-008   1.5374889789505604E-008
        1814   5.9121178628933346E-008  -1.5383370071290017E-008
        1815  -5.9083406581331567E-008   1.5391850077226292E-008
        1816   5.9045690936000337E-008  -1.5400329846345707E-008
        1817  -5.9008030130319722E-008   1.5408810614435452E-008
        1818   5.8970423332062912E-008  -1.5417290456440358E-008
        1819  -5.8932872850180735E-008   1.5425770197519595E-008
        1820   5.8895377165522986E-008  -1.5434251726800579E-008
        1821  -5.8857936122283039E-008   1.5442732750369013E-008
        1822   5.8820548884527465E-008  -1.5451212101298098E-008
        1823  -5.8783217033788750E-008   1.5459692366101194E-008
        1824   5.8745939285931065E-008  -1.5468173379464575E-008
        1825  -5.8708718033083872E-008   1.5476654830073140E-008
        1826   5.8671547247753943E-008  -1.5485133796083348E-008
        1827  -5.8634432399287228E-008   1.5493614229737380E-008
        1828   5.8597371144594084E-008  -1.5502095530726045E-008
        1829  -5.8560364461828157E-008   1.5510574981781201E-008
        1830   5.8523411168456916E-008  -1.5519055296972593E-008
        1831  -5.8486510098739407E-008   1.5527539184976061E-008
        1832   5.8449664235024428E-008  -1.5536015413158944E-008
        1833  -5.8412870778762555E-008   1.5544495913640487E-008
        1834   5.8376129819339481E-008  -1.5552976877252541E-008
        1835  -5.8339443332916952E-008   1.5561456458425510E-008
        1836   5.8302809748953584E-008  -1.5569937820495415E-008
        1837  -5.8266229919151169E-008   1.5578418234105259E-008
        1838   5.8229700828113073E-008  -1.5586898947754502E-008
        1839  -5.8193224739714418E-008   1.5595378191306914E-008
        1840   5.8156801342728194E-008  -1.5603858721604017E-008
        1841  -5.8120432235302284E-008   1.5612338809112953E-008
        1842   5.8084111246273120E-008  -1.5620819084866491E-008
        1843  -5.8047845341863277E-008   1.5629300716604581E-008
        1844   5.8011630214747586E-008  -1.5637781432896567E-008
        1845  -5.7975466180699932E-008   1.5646260148049498E-008
        1846   5.7939356461189900E-008  -1.5654741152115845E-008
        1847  -5.7903297388564828E-008   1.5663220804968130E-008
        1848   5.7867289860598326E-008  -1.5671701389529552E-008
        1849  -5.7831332359698732E-008   1.5680182084123941E-008
        1850   5.7795430502182376E-008  -1.5688664481823761E-008
        1851  -5.7759575251183494E-008   1.5697142730837521E-008
        1852   5.7723772094926706E-008  -1.5705623522264717E-008
        1853  -5.7688022359980804E-008   1.5714102330293116E-008
        1854   5.7652319266382371E-008  -1.5722583924937940E-008
        1855  -5.7616669817704745E-008   1.5731063924951760E-008
        1856   5.7581072241379020E-008  -1.5739543493480221E-008
        1857  -5.7545520997328604E-008   1.5748024936865289E-008
        1858   5.7510023867211304E-008  -1.5756504830911899E-008
        1859  -5.7474574111768717E-008   1.5764986124975223E-008
        1860   5.7439176614640451E-008  -1.5773465393532048E-008
        1861  -5.7403828239277054E-008   1.5781946501139702E-008
        1862   5.7368530683146106E-008  -1.5790425735286661E-008
        1863  -5.7333282148321920E-008   1.5798907471040397E-008
        1864   5.7298083826586629E-008  -1.5807387530847967E-008
        1865  -5.7262934296578290E-008   1.5815867922448507E-008
        1866   5.7227834748235893E-008  -1.5824348932938753E-008
        1867  -5.7192785294797577E-008   1.5832828261695903E-008
        1868   5.7157784385122401E-008  -1.5841308294669470E-008
        1869  -5.7122833402726875E-008   1.5849789295537420E-008
        1870   5.7087931188741178E-008  -1.5858269655167549E-008
        1871  -5.7053077605132821E-008   1.5866749923575617E-008
        1872   5.7018273336731330E-008  -1.5875230247359312E-008
        1873  -5.6983517381517057E-008   1.5883710526595849E-008
        1874   5.6948809734570435E-008  -1.5892190875194221E-008
        1875  -5.6914151279943139E-008   1.5900671254841432E-008
        1876   5.6879540344440167E-008  -1.5909151466383096E-008
        1877  -5.6844984518743887E-008   1.5917650827930235E-008
        1878   5.6810464648010572E-008  -1.5926111935978698E-008
        1879  -5.6775999345016744E-008   1.5934593239840499E-008
        1880   5.6741582187111363E-008  -1.5943072782402317E-008
        1881  -5.6707212112711426E-008   1.5951553069336690E-008
        1882   5.6672890433904848E-008  -1.5960034142033035E-008
        1883  -5.6638614875710212E-008   1.5968513988727116E-008
        1884   5.6604388254512066E-008  -1.5976994445461102E-008
        1885  -5.6570209453277241E-008   1.5985474939749140E-008
        1886   5.6536077294657046E-008  -1.5993955256390652E-008
        1887  -5.6501992602333423E-008   1.6002435327406163E-008
        1888   5.6467954919267723E-008  -1.6010916385547093E-008
        1889  -5.6433964998682301E-008   1.6019396299827627E-008
        1890   5.6400021472171713E-008  -1.6027876707704752E-008
        1891  -5.6366125107994841E-008   1.6036355843568784E-008
        1892   5.6332274869159743E-008  -1.6044837146942693E-008
        1893  -5.6298473774661249E-008   1.6053319400335204E-008
        1894   5.6264713749815587E-008  -1.6061798035189412E-008
        1895  -5.6231004475321654E-008   1.6070277943140915E-008
        1896   5.6197340714950520E-008  -1.6078759187317386E-008
        1897  -5.6163721464968141E-008   1.6087239388260974E-008
        1898   5.6130150511259427E-008  -1.6095719284218491E-008
        1899  -5.6096625114560484E-008   1.6104199917501248E-008
        1900   5.6063146334231701E-008  -1.6112680411911259E-008
        1901  -5.6029711188005597E-008   1.6121160319171584E-008
        1902   5.5996323265926286E-008  -1.6129641469862723E-008
        1903  -5.5962980554454152E-008   1.6138121074156303E-008
        1904   5.5929683715033834E-008  -1.6146601711708106E-008
        1905  -5.5896431946683874E-008   1.6155084304984445E-008
        1906   5.5863226342212297E-008  -1.6163557611716811E-008
        1907  -5.5830061283554497E-008   1.6172045242521704E-008
        1908   5.5796948556489532E-008  -1.6180523520619187E-008
        1909  -5.5763878132709737E-008   1.6189002751811695E-008
        1910   5.5730851834169428E-008  -1.6197484294211526E-008
        1911  -5.5697870106238530E-008   1.6205964427297610E-008
        1912   5.5664934022887057E-008  -1.6214444691870313E-008
        1913  -5.5632041682221109E-008   1.6222924778945568E-008
        1914   5.5599195340499290E-008  -1.6231404783743431E-008
        1915  -5.5566392203651286E-008   1.6239885485534213E-008
        1916   5.5533633272795502E-008  -1.6248365698675075E-008
        1917  -5.5500918997008477E-008   1.6256845950982741E-008
        1918   5.5468248936822414E-008  -1.6265326993484056E-008
        1919  -5.5435622804788211E-008   1.6273807438644183E-008
        1920   5.5403038452410186E-008  -1.6282292044714750E-008
        1921  -5.5370502660173529E-008   1.6290767880823022E-008
        1922   5.5338007889451128E-008  -1.6299248452739936E-008
        1923  -5.5305556661080797E-008   1.6307728408355678E-008
        1924   5.5273149600735280E-008  -1.6316208863287177E-008
        1925  -5.5240785496791546E-008   1.6324689293268474E-008
        1926   5.5208465831191333E-008  -1.6333169783409440E-008
        1927  -5.5176188854960684E-008   1.6341648543909126E-008
        1928   5.5143954127947396E-008  -1.6350130005115767E-008
        1929  -5.5111762947196083E-008   1.6358610914151794E-008
        1930   5.5079615407018780E-008  -1.6367091149979587E-008
        1931  -5.5047511020493516E-008   1.6375570755655525E-008
        1932   5.5015448053581217E-008  -1.6384051545171815E-008
        1933  -5.4983428973268730E-008   1.6392531812698969E-008
        1934   5.4951452173500272E-008  -1.6401010996728682E-008
        1935  -5.4919526885579715E-008   1.6409477197437379E-008
        1936   5.4887626437706712E-008  -1.6417972770321342E-008
        1937  -5.4855778065771672E-008   1.6426453457245001E-008
        1938   5.4823969601882033E-008  -1.6434933453477667E-008
        1939  -5.4792206188564554E-008   1.6443414565774496E-008
        1940   5.4760482408433672E-008  -1.6451894501034342E-008
        1941  -5.4728801456992333E-008   1.6460374451025784E-008
        1942   5.4697163177336154E-008  -1.6468855069089053E-008
        1943  -5.4665566313186523E-008   1.6477335374373548E-008
        1944   5.4634009247178075E-008  -1.6485816452639981E-008
        1945  -5.4602496944319791E-008   1.6494297059901886E-008
        1946   5.4571024854113508E-008  -1.6502776077655643E-008
        1947  -5.4539592576393757E-008   1.6511255731158450E-008
        1948   5.4508204932587272E-008  -1.6519737675824392E-008
        1949  -5.4476856050343376E-008   1.6528218164962470E-008
        1950   5.4445549508538903E-008  -1.6536698260033716E-008
        1951  -5.4414283331703285E-008   1.6545178465422533E-008
        1952   5.4383058309196688E-008  -1.6553656876660042E-008
        1953  -5.4351873971857729E-008   1.6562139519050740E-008
        1954   5.4320731044583980E-008  -1.6570619622592315E-008
        1955  -5.4289629780407899E-008   1.6579099133644509E-008
        1956   5.4258567046290139E-008  -1.6587580209349514E-008
        1957  -5.4227546907168920E-008   1.6596061286857007E-008
        1958   5.4196565418072992E-008  -1.6604541147415323E-008
        1959  -5.4165626801895279E-008   1.6613022407881931E-008
        1960   5.4134725941662313E-008  -1.6621501336134799E-008
        1961  -5.4103865725641247E-008   1.6629982712339990E-008
        1962   5.4073046478781024E-008  -1.6638461706390377E-008
        1963  -5.4042267587585846E-008   1.6646941694220476E-008
        1964   5.4011527343109144E-008  -1.6655422363552955E-008
        1965  -5.3980828187041971E-008   1.6663901732113877E-008
        1966   5.3950167808969828E-008  -1.6672383999113125E-008
        1967  -5.3919548456620001E-008   1.6680864489132118E-008
        1968   5.3888968100657402E-008  -1.6689344996349267E-008
        1969  -5.3858426886155058E-008   1.6697825376714762E-008
        1970   5.3827925606518567E-008  -1.6706304831212260E-008
        1971  -5.3797463466167151E-008   1.6714785010783512E-008
        1972   5.3767040668944370E-008  -1.6723266207553243E-008
        1973  -5.3736657217370995E-008   1.6731746349312945E-008
        1974   5.3706312713090818E-008  -1.6740226198947925E-008
        1975  -5.3676007345676590E-008   1.6748707067502553E-008
        1976   5.3645740741952699E-008  -1.6757187495803337E-008
        1977  -5.3615513695372177E-008   1.6765667925825291E-008
        1978   5.3585324944906251E-008  -1.6774148495126567E-008
        1979  -5.3555174224755985E-008   1.6782628624295972E-008
        1980   5.3525062896137205E-008  -1.6791109257849779E-008
        1981  -5.3494990444399469E-008   1.6799588719313275E-008
        1982   5.3464956147159198E-008  -1.6808069416292910E-008
        1983  -5.3434959660243189E-008   1.6816549835052715E-008
        1984   5.3405001880672885E-008  -1.6825030226043391E-008
        1985  -5.3375082769728716E-008   1.6833511020018462E-008
        1986   5.3345201205979719E-008  -1.6841991270415222E-008
        1987  -5.3315363054261689E-008   1.6850472014571204E-008
        1988   5.3285552776344747E-008  -1.6858951950522228E-008
        1989  -5.3255786277908441E-008   1.6867432121433416E-008
        1990   5.3226055120031283E-008  -1.6875912547186325E-008
        1991  -5.3196363879110312E-008   1.6884392228580232E-008
        1992   5.3166709630666023E-008  -1.6892872755245258E-008
        1993  -5.3137092777045842E-008   1.6901354011537688E-008
        1994   5.3107513748440862E-008  -1.6909834308067250E-008
        1995  -5.3077971878595295E-008   1.6918314242405524E-008
        1996   5.3048469856127242E-008  -1.6926793220436824E-008
        1997  -5.3019003923025955E-008   1.6935273389030530E-008
        1998   5.2989572223787834E-008  -1.6943753218702636E-008
        1999  -5.2960177852956274E-008   1.6952235520287934E-008
        2000   5.2930822390505220E-008  -1.6960716403343766E-008
        2001  -5.2901502788112170E-008   1.6969196689478540E-008
        2002   5.2872222085300648E-008  -1.6977677719741922E-008
        2003  -5.2842976225382535E-008   1.6986158701419495E-008
        2004   5.2813767096814398E-008  -1.6994637277604812E-008
        2005  -5.2784595224614363E-008   1.7003117517186655E-008
        2006   5.2755460075114405E-008  -1.7011598788102262E-008
        2007  -5.2726361271693181E-008   1.7020078270707701E-008
        2008   5.2697298850454624E-008  -1.7028558978149887E-008
        2009  -5.2668272702744736E-008   1.7037039586997437E-008
        2010   5.2639279729385158E-008  -1.7045522180775220E-008
        2011  -5.2610329413614468E-008   1.7053998649515460E-008
        2012   5.2581413832604961E-008  -1.7062480169147045E-008
        2013  -5.2552530586681803E-008   1.7070960463670833E-008
        2014   5.2523685385175709E-008  -1.7079442761949314E-008
        2015  -5.2494875377370189E-008   1.7087921026941503E-008
        2016   5.2466101607101214E-008  -1.7096402830349454E-008
        2017  -5.2437362667264099E-008   1.7104881634515384E-008
        2018   5.2408661448988969E-008  -1.7113362950615116E-008
        2019  -5.2379993822498927E-008   1.7121843030141613E-008
        2020   5.2351363376404908E-008  -1.7130323604294694E-008
        2021  -5.2322766797093694E-008   1.7138803054956827E-008
        2022   5.2294205582173746E-008  -1.7147283715818976E-008
        2023  -5.2265679765228226E-008   1.7155764862918695E-008
        2024   5.2237189542592594E-008  -1.7164244885361948E-008
        2025  -5.2208734919992794E-008   1.7172724889617710E-008
        2026   5.2180313831657769E-008  -1.7181205646526619E-008
        2027  -5.2151929697310249E-008   1.7189685525584135E-008
        2028   5.2123580515872164E-008  -1.7198166224054547E-008
        2029  -5.2095264250815425E-008   1.7206645850574272E-008
        2030   5.2066983899217036E-008  -1.7215126358170892E-008
        2031  -5.2038738389573544E-008   1.7223607997647475E-008
        2032   5.2010528659960384E-008  -1.7232089907578290E-008
        2033  -5.1982350122172877E-008   1.7240568860727151E-008
        2034   5.1954208181026614E-008  -1.7249047634250816E-008
        2035  -5.1926100809819087E-008   1.7257528468192290E-008
        2036   5.1898026582173918E-008  -1.7266009098154678E-008
        2037  -5.1869988170524101E-008   1.7274488552719938E-008
        2038   5.1841983903880306E-008  -1.7282969633615562E-008
        2039  -5.1814012721672581E-008   1.7291449685278063E-008
        2040   5.1786075717413684E-008  -1.7299930293461540E-008
        2041  -5.1758172583637433E-008   1.7308410896115585E-008
        2042   5.1730303994033174E-008  -1.7316890948618343E-008
        2043  -5.1702468556153282E-008   1.7325371455171419E-008
        2044   5.1674667391760759E-008  -1.7333851744219986E-008
        2045  -5.1646894974273944E-008   1.7342330443719748E-008
        2046   5.1619165682520961E-008  -1.7350812179798745E-008
        2047  -5.1591465574071836E-008   1.7359293034949924E-008
        2048   5.1563798797619407E-008  -1.7367773029190368E-008
        2049  -5.1536164859292642E-008   1.7376253555245530E-008
        2050   5.1508565248399081E-008  -1.7384733760241323E-008
        2051  -5.1480998318682755E-008   1.7393214270643317E-008
        2052   5.1453464472270863E-008  -1.7401694051919349E-008
        2053  -5.1425964614312976E-008   1.7410174737921436E-008
        2054   5.1398496076912809E-008  -1.7418655781290112E-008
        2055  -5.1371062204976365E-008   1.7427135129075011E-008
        2056   5.1343660504371086E-008  -1.7435615724464902E-008
        2057  -5.1316292391969640E-008   1.7444096713420182E-008
        2058   5.1288956108074631E-008  -1.7452576284889541E-008
        2059  -5.1261653351329319E-008   1.7461056946388659E-008
        2060   5.1234365947242525E-008  -1.7469554216848621E-008
        2061  -5.1207144838998108E-008   1.7478017897749496E-008
        2062   5.1179939256240810E-008  -1.7486497651527451E-008
        2063  -5.1152766684031204E-008   1.7494978644385858E-008
        2064   5.1125627157602472E-008  -1.7503458125378546E-008
        2065  -5.1098520087443399E-008   1.7511940134730701E-008
        2066   5.1071449524041823E-008  -1.7520410165126074E-008
        2067  -5.1044398230524601E-008   1.7528899850087509E-008
        2068   5.1017386222459846E-008  -1.7537380090496056E-008
        2069  -5.0990408810391949E-008   1.7545859608703984E-008
        2070   5.0963459879566346E-008  -1.7554338290219542E-008
        2071  -5.0936545144002925E-008   1.7562821518174281E-008
        2072   5.0909661878515479E-008  -1.7571300988907705E-008
        2073  -5.0882809899243650E-008   1.7579781916226092E-008
        2074   5.0855989636825762E-008  -1.7588262321108108E-008
        2075  -5.0829201758564537E-008   1.7596742565758597E-008
        2076   5.0802444056516132E-008  -1.7605223203012244E-008
        2077  -5.0775719099579010E-008   1.7613703156906814E-008
        2078   5.0749024573398273E-008  -1.7622183352998598E-008
        2079  -5.0722362765203436E-008   1.7630663740031936E-008
        2080   5.0695732321855976E-008  -1.7639144392843885E-008
        2081  -5.0669132600644236E-008   1.7647625533479048E-008
        2082   5.0642563845293474E-008  -1.7656105050236856E-008
        2083  -5.0616026442789328E-008   1.7664585565775257E-008
        2084   5.0589520581264592E-008  -1.7673063811807460E-008
        2085  -5.0563044705837824E-008   1.7681546870192979E-008
        2086   5.0536600745833239E-008  -1.7690026621423058E-008
        2087  -5.0510186302297675E-008   1.7698506950207635E-008
        2088   5.0483805070571607E-008  -1.7706987328391173E-008
        2089  -5.0457453144240726E-008   1.7715466745727641E-008
        2090   5.0431132719681794E-008  -1.7723946854242994E-008
        2091  -5.0404841720813669E-008   1.7732428694215664E-008
        2092   5.0378581566914592E-008  -1.7740908713839991E-008
        2093  -5.0352351773430895E-008   1.7749390923295209E-008
        2094   5.0326154600490429E-008  -1.7757869620775644E-008
        2095  -5.0299985894053883E-008   1.7766348988482758E-008
        2096   5.0273847478277860E-008  -1.7774830266052656E-008
        2097  -5.0247739679774877E-008   1.7783310298795829E-008
        2098   5.0221663061418657E-008  -1.7791790503791623E-008
        2099  -5.0195614209436027E-008   1.7800270913295052E-008
        2100   5.0169596167860115E-008  -1.7808752318407783E-008
        2101  -5.0143611194016782E-008   1.7817232919787891E-008
        2102   5.0117652742320015E-008  -1.7825712335538713E-008
        2103  -5.0091723961306477E-008   1.7834192848881604E-008
        2104   5.0065828848849705E-008  -1.7842673942096475E-008
        2105  -5.0039960828148828E-008   1.7851152529991176E-008
        2106   5.0014122648127303E-008  -1.7859634117507370E-008
        2107  -4.9988314796106903E-008   1.7868114200028976E-008
        2108   4.9962535799154929E-008  -1.7876594030622655E-008
        2109  -4.9936785415758572E-008   1.7885075002474645E-008
        2110   4.9911066727945466E-008  -1.7893555686091488E-008
        2111  -4.9885376697147543E-008   1.7902036707315334E-008
        2112   4.9859714304651830E-008  -1.7910515211455418E-008
        2113  -4.9834082964800704E-008   1.7918996828638093E-008
        2114   4.9808481911469804E-008  -1.7927476560677794E-008
        2115  -4.9782907905676291E-008   1.7935957549077420E-008
        2116   4.9757364209682858E-008  -1.7944437587241605E-008
        2117  -4.9731849096064064E-008   1.7952917840254002E-008
        2118   4.9706363336036633E-008  -1.7961398586280233E-008
        2119  -4.9680906384084241E-008   1.7969878336805581E-008
        2120   4.9655478455183850E-008  -1.7978357388250920E-008
        2121  -4.9630079644155716E-008   1.7986838666118974E-008
        2122   4.9604708782131641E-008  -1.7995319175314792E-008
        2123  -4.9579366860712769E-008   1.8003800094772713E-008
        2124   4.9554054092849957E-008  -1.8012277914930303E-008
        2125  -4.9528765426967459E-008   1.8020760519414582E-008
        2126   4.9503512402384849E-008  -1.8029241164216987E-008
        2127  -4.9478286111300467E-008   1.8037721454322651E-008
        2128   4.9453085709202135E-008  -1.8046202681829514E-008
        2129  -4.9427916964360507E-008   1.8054682035265816E-008
        2130   4.9402774734845137E-008  -1.8063163594023548E-008
        2131  -4.9377660067649734E-008   1.8071643070069563E-008
        2132   4.9352573498383722E-008  -1.8080123357478274E-008
        2133  -4.9327515080887905E-008   1.8088607039930564E-008
        2134   4.9302488402323098E-008  -1.8097083115783041E-008
        2135  -4.9277485808150811E-008   1.8105564354674026E-008
        2136   4.9252505504748285E-008  -1.8114043872380511E-008
