        k           c(k)                    s(k)
         126   6.5802776707890934E-006  -1.0685251523566023E-009
         127  -6.4771267189182760E-006   1.0770054370751371E-009
         128   6.3763965466867849E-006  -1.0854858689165185E-009
         129  -6.2780118960496800E-006   1.0939662327767296E-009
         130   6.1819004173799800E-006  -1.1024465721661588E-009
         131  -6.0879925315692190E-006   1.1109269186740530E-009
         132   5.9962213039159359E-006  -1.1194072087153427E-009
         133  -5.9065223275566484E-006   1.1278877580147829E-009
         134   5.8188336037254127E-006  -1.1363679432442158E-009
         135  -5.7330954398063071E-006   1.1448483264608238E-009
         136   5.6492503445424049E-006  -1.1533286796230088E-009
         137  -5.5672429304568476E-006   1.1618090119871468E-009
         138   5.4870198256573344E-006  -1.1702894569422923E-009
         139  -5.4085295811488580E-006   1.1787697565736891E-009
         140   5.3317225938400494E-006  -1.1872501183078475E-009
         141  -5.2565510231545053E-006   1.1957304851462265E-009
         142   5.1829687182861756E-006  -1.2042108513764358E-009
         143  -5.1109311476783007E-006   1.2126911776029730E-009
         144   5.0403953278251420E-006  -1.2211715550733095E-009
         145  -4.9713197637446478E-006   1.2296518932311529E-009
         146   4.9036643837038719E-006  -1.2381322748671974E-009
         147  -4.8373904822830043E-006   1.2466126275906194E-009
         148   4.7724606666452526E-006  -1.2550928923903273E-009
         149  -4.7088387993344979E-006   1.2635733292308971E-009
         150   4.6464899532777470E-006  -1.2720537049377111E-009
         151  -4.5853803591727445E-006   1.2805340555672675E-009
         152   4.5254773603436380E-006  -1.2890143817734760E-009
         153  -4.4667493724867465E-006   1.2974947798521241E-009
         154   4.4091658352859921E-006  -1.3059751222010865E-009
         155  -4.3526971793560637E-006   1.3144554816550322E-009
         156   4.2973147830658003E-006  -1.3229358125842964E-009
         157  -4.2429909382447407E-006   1.3314161830344239E-009
         158   4.1896988170385071E-006  -1.3398966238103088E-009
         159  -4.1374124343830643E-006   1.3483767791699718E-009
         160   4.0861066212899368E-006  -1.3568572610422013E-009
         161  -4.0357569906922957E-006   1.3653376350092095E-009
         162   3.9863399094642216E-006  -1.3738179767178150E-009
         163  -3.9378324719610753E-006   1.3822983834057060E-009
         164   3.8902124703424590E-006  -1.3907787223241849E-009
         165  -3.8434583720450290E-006   1.3992591137332956E-009
         166   3.7975492932181199E-006  -1.4077394700108678E-009
         167  -3.7524649763005053E-006   1.4162199053894587E-009
         168   3.7081857686554218E-006  -1.4247002217887198E-009
         169  -3.6646925989258268E-006   1.4331805164141518E-009
         170   3.6219669582954282E-006  -1.4416608457154187E-009
         171  -3.5799908798091944E-006   1.4501413513299817E-009
         172   3.5387469191271805E-006  -1.4586214784868357E-009
         173  -3.4982181380858817E-006   1.4671020142185021E-009
         174   3.4583880839675021E-006  -1.4755822503969667E-009
         175  -3.4192407764688335E-006   1.4840627360994792E-009
         176   3.3807606884016304E-006  -1.4925430645621834E-009
         177  -3.3429327320071324E-006   1.5010233441087350E-009
         178   3.3057422453420355E-006  -1.5095036842181423E-009
         179  -3.2691749740442312E-006   1.5179840582952648E-009
         180   3.2332170627328064E-006  -1.5264644412645392E-009
         181  -3.1978550380187170E-006   1.5349448154890454E-009
         182   3.1630757968125351E-006  -1.5434250852540605E-009
         183  -3.1288665959433218E-006   1.5519055121894271E-009
         184   3.0952150366334887E-006  -1.5603858038705726E-009
         185  -3.0621090575164275E-006   1.5688662982433143E-009
         186   3.0295369205054937E-006  -1.5773467930565131E-009
         187  -2.9974872013074807E-006   1.5858269352126266E-009
         188   2.9659487816037343E-006  -1.5943072178576246E-009
         189  -2.9349108352858119E-006   1.6027876585657469E-009
         190   2.9043628236204567E-006  -1.6112680226682094E-009
         191  -2.8742944826131128E-006   1.6197483554931334E-009
         192   2.8446958160176531E-006  -1.6282287243288160E-009
         193  -2.8155570881133711E-006   1.6367085790578513E-009
         194   2.7868688120971321E-006  -1.6451895372929400E-009
         195  -2.7586217457777225E-006   1.6536698612494290E-009
         196   2.7308068826605768E-006  -1.6621505983547083E-009
         197  -2.7034154453174479E-006   1.6706304906699836E-009
         198   2.6764388779352546E-006  -1.6791108800055576E-009
         199  -2.6498688388187968E-006   1.6875911670449626E-009
         200   2.6236971969812372E-006  -1.6960715654776705E-009
         201  -2.5979160229099523E-006   1.7045519905512586E-009
         202   2.5725175830081521E-006  -1.7130322983429708E-009
         203  -2.5474943357470069E-006   1.7215126911700147E-009
         204   2.5228389226033561E-006  -1.7299930017281365E-009
         205  -2.4985441662395776E-006   1.7384734728667644E-009
         206   2.4746030624539142E-006  -1.7469537512765978E-009
         207  -2.4510087763737190E-006   1.7554341126821074E-009
         208   2.4277546387626344E-006  -1.7639144977096719E-009
         209  -2.4048341381193751E-006   1.7723946498539978E-009
         210   2.3822409201612268E-006  -1.7808751258749237E-009
         211  -2.3599687801064518E-006   1.7893555986974531E-009
         212   2.3380116593962983E-006  -1.7978358712949464E-009
         213  -2.3163636431092053E-006   1.8063161444853627E-009
         214   2.2950189526743680E-006  -1.8147965830742085E-009
         215  -2.2739719460543577E-006   1.8232770031350557E-009
         216   2.2532171087763172E-006  -1.8317569341868417E-009
         217  -2.2327490566479411E-006   1.8402377598528038E-009
         218   2.2125625277293249E-006  -1.8487180799620691E-009
         219  -2.1926523793736486E-006   1.8571984208642993E-009
         220   2.1730135874513894E-006  -1.8656787006022802E-009
