# frequency transmission sigma
1.433499999999999943e+02 9.630109956587243891e-01 6.374721316629988581e-03
1.434000000000000057e+02 9.610236959850352312e-01 6.442868044778071908e-03
1.434500000000000171e+02 9.593409901186382704e-01 6.484702748035693458e-03
1.435000000000000000e+02 9.579698271017426103e-01 6.495646804496809333e-03
1.435500000000000114e+02 9.569264906103797097e-01 6.478118567731962728e-03
1.435999999999999943e+02 9.562395683317365114e-01 6.441689889523679984e-03
1.436500000000000057e+02 9.559491690602932579e-01 6.401491167199111799e-03
1.437000000000000171e+02 9.561017838169028060e-01 6.374731497597182876e-03
1.437500000000000000e+02 9.567414261681242982e-01 6.376077810521118931e-03
1.438000000000000114e+02 9.578991576256605800e-01 6.413472650111265959e-03
1.438499999999999943e+02 9.595839462084654325e-01 6.485988074546355890e-03
1.439000000000000057e+02 9.617773446636236345e-01 6.584289752530710603e-03
1.439500000000000171e+02 9.644328642743011937e-01 6.693025390565036058e-03
1.440000000000000000e+02 9.674791078831022073e-01 6.793935613805715534e-03
1.440500000000000114e+02 9.708246961926679797e-01 6.868795514666133084e-03
1.440999999999999943e+02 9.743630945322505621e-01 6.901824971030062761e-03
1.441500000000000057e+02 9.779762517311247905e-01 6.881518108195600579e-03
1.442000000000000171e+02 9.815369060802514589e-01 6.801921910987667082e-03
1.442500000000000000e+02 9.849100982093849099e-01 6.663375700369170672e-03
1.443000000000000114e+02 9.879547508877738471e-01 6.472687886744956515e-03
1.443499999999999943e+02 9.905261983899323885e-01 6.242698272317783424e-03
1.444000000000000057e+02 9.924803745088928153e-01 5.991172288219055730e-03
1.444500000000000171e+02 9.936800658662715557e-01 5.739031587594976488e-03
1.445000000000000000e+02 9.940032370411816531e-01 5.508071974831820969e-03
1.445500000000000114e+02 9.933529599589933090e-01 5.318525336800120941e-03
1.445999999999999943e+02 9.916679790781801618e-01 5.186944585308256479e-03
1.446500000000000057e+02 9.889325031235534080e-01 5.124728122147902305e-03
1.447000000000000171e+02 9.851835535072153149e-01 5.137154776553617096e-03
1.447500000000000000e+02 9.805142408867624226e-01 5.222502516513051474e-03
1.448000000000000114e+02 9.750717595608128230e-01 5.371175199525149609e-03
1.448499999999999943e+02 9.690496661690620739e-01 5.565544032338227108e-03
1.449000000000000057e+02 9.626750110215035461e-01 5.781504821145905422e-03
1.449500000000000171e+02 9.561918896699762582e-01 5.992078973974593326e-03
1.450000000000000000e+02 9.498437197958438105e-01 6.172321436666478728e-03
1.450500000000000114e+02 9.438568169800531926e-01 6.304169144561488740e-03
1.450999999999999943e+02 9.384275594620625771e-01 6.379892694871428481e-03
1.451500000000000057e+02 9.337146682909116535e-01 6.403237807655070418e-03
1.452000000000000171e+02 9.298370874296806310e-01 6.387892543434742568e-03
1.452500000000000000e+02 9.268768910457918508e-01 6.353512014084515200e-03
1.453000000000000114e+02 9.248858085563798070e-01 6.320200707914266046e-03
1.453499999999999943e+02 9.238934826622650087e-01 6.303010536035965998e-03
1.454000000000000057e+02 9.239154819476841363e-01 6.308283703178926144e-03
1.454500000000000171e+02 9.249593021903842471e-01 6.333081958969878286e-03
1.455000000000000000e+02 9.270269954172873916e-01 6.367579637680201993e-03
1.455500000000000114e+02 9.301135729496312621e-01 6.399030275190472836e-03
1.455999999999999943e+02 9.342009131447144288e-01 6.415583548799094586e-03
1.456500000000000057e+02 9.392476084132725944e-01 6.408790001859434628e-03
1.457000000000000171e+02 9.451760737034493598e-01 6.374448329755329386e-03
1.457500000000000000e+02 9.518593054684553190e-01 6.312060482941122402e-03
1.458000000000000114e+02 9.591107387206407875e-01 6.223503783001327859e-03
1.458499999999999943e+02 9.666812580616506168e-01 6.111689183451186544e-03
1.459000000000000057e+02 9.742669600285639442e-01 5.979938261902498567e-03
1.459500000000000171e+02 9.815292662474351948e-01 5.832486528939763958e-03
1.460000000000000000e+02 9.881255989940147533e-01 5.675919321267496737e-03
1.460500000000000114e+02 9.937451209985790346e-01 5.520705036537542840e-03
1.460999999999999943e+02 9.981416917467119676e-01 5.381664070987823671e-03
1.461500000000000057e+02 1.001156550799685796e+00 5.276456869688031341e-03
1.462000000000000171e+02 1.002726347396083906e+00 5.222032405099185683e-03
1.462500000000000000e+02 1.002876586533905101e+00 5.230199518783194834e-03
1.463000000000000114e+02 1.001704378508296411e+00 5.304356915138043992e-03
1.463499999999999943e+02 9.993562091577524731e-01 5.439019323097216314e-03
1.464000000000000057e+02 9.960061460417152235e-01 5.622095152034284164e-03
1.464500000000000171e+02 9.918382375317728039e-01 5.838310853932712069e-03
1.465000000000000000e+02 9.870348498391640080e-01 6.072019262387470806e-03
1.465500000000000114e+02 9.817710166061415222e-01 6.308601657063702545e-03
1.465999999999999943e+02 9.762137891908242437e-01 6.534710544669709506e-03
1.466500000000000057e+02 9.705249959256702086e-01 6.738105614682214292e-03
1.467000000000000171e+02 9.648655602162488076e-01 6.907813193070558300e-03
1.467500000000000000e+02 9.593994585281435672e-01 7.034975078394872794e-03
1.468000000000000114e+02 9.542955123007187401e-01 7.114212876482177601e-03
1.468499999999999943e+02 9.497255986611393697e-01 7.144801226785631176e-03
