# NO SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
282 593949620.000000 210.465500 0.000211001
283 593949700.000000 210.579000 0.00021115
284 593949780.000000 210.698000 0.00021124
285 593949860.000000 210.812500 0.00021121
286 593949940.000000 210.929000 0.000211091
287 593950020.000000 211.042500 0.000210912
288 593950100.000000 211.159000 0.000210703
289 593950180.000000 211.275500 0.000210644
290 593950260.000000 211.387500 0.000210763
291 593950340.000000 211.504000 0.000210852
292 593950420.000000 211.619000 0.000211001
293 593950500.000000 211.736500 0.000211091
294 593950580.000000 211.849000 0.000211031
295 593950660.000000 211.968500 0.00021115
296 593950740.000000 212.081000 0.000211001
297 593950820.000000 212.198000 0.000210823
298 593950900.000000 212.315500 0.000210733
299 593950980.000000 212.432500 0.000210733
300 593951060.000000 212.547000 0.000210793
301 593951140.000000 212.662000 0.000210852
302 593951220.000000 212.780000 0.000210972
303 593951300.000000 212.892500 0.000211061
304 593951380.000000 213.010500 0.000210942
305 593951460.000000 213.125500 0.000210942
306 593951540.000000 213.241500 0.000210793
307 593951620.000000 213.356000 0.000210644
308 593951700.000000 213.472500 0.000210614
309 593951780.000000 213.586500 0.000210614
310 593951860.000000 213.701500 0.000210703
311 593951940.000000 213.818000 0.000210763
312 593952020.000000 213.933500 0.000210942
313 593952100.000000 214.047500 0.000210912
314 593952180.000000 214.162000 0.000211001
315 593952260.000000 214.279500 0.000210882
316 593952340.000000 214.392500 0.000210703
317 593952420.000000 214.509500 0.000210584
318 593952500.000000 214.624500 0.000210554
319 593952580.000000 214.742500 0.000210644
320 593952660.000000 214.855500 0.000210703
321 593952740.000000 214.970500 0.000210763
322 593952820.000000 215.088000 0.000210793
323 593952900.000000 215.198500 0.000210882
324 593952980.000000 215.315000 0.000210942
325 593953060.000000 215.427000 0.000210793
326 593953140.000000 215.545500 0.000210703
327 593953220.000000 215.659500 0.000210525
328 593953300.000000 215.777000 0.000210465
329 593953380.000000 215.890000 0.000210525
330 593953460.000000 216.006500 0.000210614
331 593953540.000000 216.122500 0.000210793
332 593953620.000000 216.238000 0.000210882
333 593953700.000000 216.353500 0.000210912
334 593953780.000000 216.467000 0.000210882
335 593953860.000000 216.583500 0.000210614
336 593953940.000000 216.698500 0.000210465
337 593954020.000000 216.815000 0.000210286
338 593954100.000000 216.929000 0.000210256
339 593954180.000000 217.048500 0.000210435
340 593954260.000000 217.164000 0.000210644
341 593954340.000000 217.279000 0.000210852
342 593954420.000000 217.394000 0.000210882
343 593954500.000000 217.511000 0.000210823
344 593954580.000000 217.626000 0.000210584
345 593954660.000000 217.740000 0.000210316
346 593954740.000000 217.858500 0.000210167
347 593954820.000000 217.972000 0.000210078
348 593954900.000000 218.088000 0.000210197
349 593954980.000000 218.201000 0.000210465
350 593955060.000000 218.321000 0.000210644
351 593955140.000000 218.432500 0.000210912
352 593955220.000000 218.549500 0.000210793
353 593955300.000000 218.665000 0.000210644
354 593955380.000000 218.780500 0.000210316
355 593955460.000000 218.895500 0.000210048
356 593955540.000000 219.010500 0.000210018
357 593955620.000000 219.127500 0.000210137
358 593955700.000000 219.238000 0.000210435
359 593955780.000000 219.355000 0.000210733
360 593955860.000000 219.469000 0.000210852
361 593955940.000000 219.585000 0.000210852
362 593956021.000000 219.699000 0.000210554
363 593956100.000000 219.817000 0.000210346
364 593956180.000000 219.932000 0.000210018
365 593956260.000000 220.046000 0.000209839
366 593956340.000000 220.161500 0.000210078
367 593956420.000000 220.275500 0.000210316
368 593956500.000000 220.392500 0.000210614
369 593956580.000000 220.508000 0.000210763
370 593956660.000000 220.623000 0.000210912
371 593956740.000000 220.736000 0.000210644
372 593956820.000000 220.851500 0.000210256
373 593956900.000000 220.965500 0.000210048
374 593956980.000000 221.083000 0.000209899
375 593957060.000000 221.198000 0.000209958
376 593957140.000000 221.311500 0.000210107
377 593957220.000000 221.429500 0.000210465
378 593957300.000000 221.543500 0.000210763
379 593957380.000000 221.660500 0.000210644
380 593957460.000000 221.773000 0.000210584
381 593957540.000000 221.891000 0.000210316
382 593957620.000000 222.004000 0.000209928
383 593957700.000000 222.121500 0.000209839
384 593957780.000000 222.237500 0.000209809
385 593957860.000000 222.353000 0.000210048
386 593957940.000000 222.469500 0.000210316
387 593958020.000000 222.584500 0.000210465
388 593958100.000000 222.701000 0.000210525
389 593958180.000000 222.815500 0.000210525
390 593958260.000000 222.934000 0.000210346
391 593958340.000000 223.045000 0.000210018
392 593958420.000000 223.163000 0.000209779
393 593958500.000000 223.278000 0.000209779
394 593958580.000000 223.394500 0.000209809
395 593958660.000000 223.509000 0.000210107
396 593958740.000000 223.627000 0.000210346
397 593958820.000000 223.742000 0.000210525
398 593958900.000000 223.855500 0.000210465
399 593958980.000000 223.973000 0.000210286
400 593959060.000000 224.087000 0.000210078
401 593959140.000000 224.202000 0.00020963
402 593959220.000000 224.315500 0.00020972
403 593959300.000000 224.431500 0.000209809
404 593959380.000000 224.547500 0.000210018
405 593959460.000000 224.664500 0.000210227
406 593959540.000000 224.779500 0.000210376
407 593959620.000000 224.895000 0.000210465
408 593959700.000000 225.012000 0.000210286
409 593959780.000000 225.126000 0.000210048
410 593959860.000000 225.240500 0.000209809
411 593959940.000000 225.354500 0.00020966
412 593960020.000000 225.470000 0.000209809
413 593960100.000000 225.583500 0.000209899
414 593960180.000000 225.702500 0.000210227
415 593960260.000000 225.815000 0.000210316
416 593960340.000000 225.932000 0.000210316
417 593960420.000000 226.046500 0.000210346
418 593960500.000000 226.161500 0.000210048
419 593960580.000000 226.278000 0.000209869
420 593960660.000000 226.392000 0.000209601
421 593960740.000000 226.507500 0.00020963
422 593960820.000000 226.623000 0.000209779
423 593960900.000000 226.738500 0.000209988
424 593960980.000000 226.854000 0.000210227
425 593961060.000000 226.972500 0.000210286
426 593961140.000000 227.084500 0.000210137
427 593961220.000000 227.202500 0.000210018
428 593961300.000000 227.319000 0.00020975
429 593961380.000000 227.434500 0.00020963
430 593961460.000000 227.549500 0.00020963
431 593961540.000000 227.666500 0.00020972
432 593961620.000000 227.784000 0.000209928
433 593961700.000000 227.895500 0.000210107
434 593961780.000000 228.015000 0.000210137
435 593961860.000000 228.127500 0.000210078
436 593961940.000000 228.245000 0.000209958
437 593962020.000000 228.359500 0.000209809
438 593962100.000000 228.477500 0.00020966
439 593962180.000000 228.590000 0.000209779
440 593962260.000000 228.707500 0.000209869
441 593962340.000000 228.821000 0.000209928
442 593962420.000000 228.936000 0.000210048
443 593962500.000000 229.053500 0.000210048
444 593962580.000000 229.164500 0.000210018
445 593962660.000000 229.282500 0.000209899
446 593962740.000000 229.396500 0.000209809
447 593962820.000000 229.511500 0.000209779
448 593962900.000000 229.625500 0.000209869
449 593962980.000000 229.743000 0.000209928
450 593963060.000000 229.858500 0.000209928
