# SAMPLE
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
301 598098380.000000 212.639000 0.000204117
302 598098460.000000 212.758000 0.000204117
303 598098540.000000 212.872000 0.000204385
304 598098620.000000 212.987500 0.000204326
305 598098700.000000 213.104000 0.000204177
306 598098780.000000 213.221000 0.000204117
307 598098860.000000 213.335000 0.000203998
308 598098940.000000 213.451000 0.000203968
309 598099020.000000 213.567500 0.000203879
310 598099100.000000 213.680000 0.000203968
311 598099180.000000 213.797500 0.000204087
312 598099260.000000 213.912500 0.000204117
313 598099340.000000 214.028500 0.000204266
314 598099420.000000 214.143000 0.000204266
315 598099500.000000 214.258000 0.000204177
316 598099580.000000 214.373000 0.000203998
317 598099660.000000 214.489500 0.000203879
318 598099740.000000 214.603000 0.000203879
319 598099820.000000 214.719000 0.000203819
320 598099900.000000 214.834000 0.000204028
321 598099980.000000 214.948500 0.000203998
322 598100060.000000 215.065500 0.000204117
323 598100140.000000 215.179000 0.000204236
324 598100220.000000 215.295000 0.000204177
325 598100300.000000 215.408500 0.000204087
326 598100380.000000 215.526500 0.000203849
327 598100460.000000 215.642500 0.00020373
328 598100540.000000 215.758000 0.00020373
329 598100620.000000 215.871500 0.000203789
330 598100700.000000 215.985500 0.000203879
331 598100780.000000 216.102500 0.000204087
332 598100860.000000 216.216500 0.000204147
333 598100940.000000 216.334000 0.000204177
334 598101020.000000 216.446000 0.000204057
335 598101100.000000 216.564000 0.000203879
336 598101180.000000 216.677000 0.00020373
337 598101260.000000 216.795500 0.000203551
338 598101340.000000 216.908500 0.00020361
339 598101420.000000 217.026000 0.00020367
340 598101500.000000 217.143000 0.000203938
341 598101580.000000 217.259500 0.000204028
342 598101660.000000 217.374000 0.000204117
343 598101740.000000 217.489000 0.000204147
344 598101820.000000 217.607000 0.000203849
345 598101900.000000 217.719500 0.00020367
346 598101980.000000 217.837500 0.000203461
347 598102060.000000 217.952000 0.000203432
348 598102140.000000 218.067500 0.000203521
349 598102220.000000 218.181000 0.00020373
350 598102300.000000 218.298500 0.000203998
351 598102380.000000 218.414500 0.000204057
352 598102460.000000 218.528000 0.000204117
353 598102540.000000 218.645000 0.000203938
354 598102620.000000 218.758500 0.00020367
355 598102700.000000 218.874000 0.000203402
356 598102780.000000 218.987500 0.000203193
357 598102860.000000 219.106000 0.000203312
358 598102940.000000 219.218500 0.000203581
359 598103020.000000 219.335000 0.000203879
360 598103100.000000 219.448500 0.000204087
361 598103180.000000 219.564500 0.000204028
362 598103260.000000 219.679500 0.000203879
363 598103340.000000 219.794000 0.00020367
364 598103420.000000 219.909500 0.000203342
365 598103500.000000 220.025000 0.000203104
366 598103580.000000 220.142500 0.000203104
367 598103660.000000 220.256500 0.000203402
368 598103740.000000 220.371000 0.00020373
369 598103820.000000 220.483500 0.000203998
370 598103900.000000 220.601000 0.000204028
371 598103980.000000 220.715500 0.000203908
372 598104060.000000 220.831000 0.000203551
373 598104140.000000 220.945500 0.000203193
