# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
296 585430420.000000 212.095000 0.000127674
297 585430500.000000 212.210500 0.000127614
298 585430580.000000 212.326000 0.000127614
299 585430660.000000 212.443500 0.000127585
300 585430740.000000 212.558500 0.000127644
301 585430820.000000 212.672500 0.000127585
302 585430900.000000 212.790000 0.000127614
303 585430980.000000 212.905000 0.000127614
304 585431060.000000 213.022500 0.000127585
305 585431140.000000 213.135000 0.000127585
306 585431220.000000 213.255000 0.000127585
307 585431300.000000 213.368000 0.000127555
308 585431380.000000 213.485000 0.000127555
309 585431460.000000 213.599000 0.000127585
310 585431540.000000 213.715500 0.000127644
311 585431620.000000 213.830000 0.000127525
312 585431700.000000 213.944500 0.000127614
313 585431780.000000 214.061000 0.000127614
314 585431860.000000 214.175500 0.000127585
315 585431940.000000 214.290500 0.000127525
316 585432020.000000 214.404000 0.000127525
317 585432100.000000 214.522000 0.000127555
318 585432180.000000 214.637500 0.000127525
319 585432260.000000 214.752000 0.000127465
320 585432340.000000 214.867500 0.000127525
321 585432420.000000 214.983000 0.000127495
322 585432500.000000 215.098000 0.000127525
323 585432580.000000 215.212000 0.000127525
324 585432660.000000 215.329500 0.000127525
325 585432740.000000 215.443500 0.000127495
326 585432820.000000 215.560000 0.000127495
327 585432900.000000 215.674000 0.000127525
328 585432980.000000 215.792000 0.000127465
329 585433060.000000 215.904000 0.000127436
330 585433140.000000 216.022000 0.000127406
331 585433220.000000 216.136500 0.000127406
332 585433300.000000 216.251000 0.000127436
333 585433380.000000 216.366000 0.000127465
